Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
43,Andre Jackson Jr.,Oct 29 '23 MIL vs. ATL,22,2,59,577,50,100,17,46,8,11,43,113,51,18,6,28,93,125,0.5,0.37,0.727
44,GG Jackson II,Oct 30 '23 MEM vs. DAL,19,1,48,1233,241,563,102,286,115,153,53,196,59,28,24,65,64,699,0.428,0.357,0.752
45,Trayce Jackson-Davis,Oct 27 '23 GSW @ SAC,23,2,71,1187,246,349,0,1,78,137,139,355,87,30,77,51,112,570,0.705,0,0.569
46,Jaime Jaquez Jr.,Oct 25 '23 MIA vs. DET,22,2,77,2154,347,710,69,206,145,180,86,296,202,78,20,116,173,908,0.489,0.335,0.806
47,Trey Jemison,Jan 24 '24 WAS vs. MIN,24,1,25,573,75,136,0,0,21,25,64,134,27,12,28,34,69,171,0.551,,0.84
48,Keyontae Johnson,Oct 29 '23 OKC vs. DEN,23,1,9,66,5,16,1,3,0,0,4,10,4,1,0,4,5,11,0.313,0.333,
49,Colby Jones,Oct 25 '23 SAC @ UTA,21,1,30,192,28,71,2,22,6,11,17,40,20,7,5,10,29,64,0.394,0.091,0.545
50,Maxwell Lewis,Oct 24 '23 LAL @ DEN,21,1,34,103,4,21,1,9,2,3,2,4,6,2,1,10,5,11,0.19,0.111,0.667
51,E.J. Liddell,Oct 28 '23 NOP vs. NYK,23,1,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,0.167,0,1
52,Dereck Lively II,Oct 25 '23 DAL @ SAS,19,2,57,1343,229,306,0,2,45,88,143,400,69,37,77,53,151,503,0.748,0,0.511
53,Chris Livingston,Nov 1 '23 MIL @ TOR,20,1,21,90,11,22,1,5,3,4,3,21,5,2,0,5,15,26,0.5,0.2,0.75
54,Seth Lundy,Dec 15 '23 ATL @ TOR,23,1,9,52,4,17,3,13,3,4,1,7,0,0,0,1,6,14,0.235,0.231,0.75
55,Nathan Mensah,Dec 15 '23 CHO vs. NOP,25,1,25,307,12,28,0,0,9,12,29,65,9,6,14,14,64,33,0.429,,0.75
56,Vasilije Micić,Oct 27 '23 OKC @ CLE,30,2,63,1221,162,388,44,161,61,75,19,99,265,32,7,103,70,429,0.418,0.273,0.813
57,Brandon Miller,Oct 25 '23 CHO vs. ATL,21,2,75,2394,478,1087,185,495,144,174,61,316,176,67,42,133,184,1285,0.44,0.374,0.828
58,Jordan Miller,Oct 25 '23 LAC vs. POR,24,1,8,28,5,9,1,2,2,2,3,5,0,0,0,1,2,13,0.556,0.5,1
59,Leonard Miller,Oct 28 '23 MIN vs. MIA,20,1,17,52,13,20,2,5,1,2,5,20,8,2,1,1,5,29,0.65,0.4,0.5
60,Dariq Whitehead,Nov 25 '23 BRK vs. MIA,19,2,3,26,1,5,0,3,1,2,0,5,3,0,1,2,0,3,0.2,0,0.5
61,Taze Moore,Jan 21 '24 POR @ LAL,25,1,4,40,8,19,1,7,1,2,4,8,5,2,0,3,4,18,0.421,0.143,0.5
62,Kris Murray,Oct 25 '23 POR @ LAC,23,2,65,1388,150,376,51,187,38,62,87,229,84,53,21,58,94,389,0.399,0.273,0.613
63,Pete Nance,Jan 20 '24 CLE @ ATL,23,1,8,27,1,6,1,1,0,2,0,3,0,1,0,1,2,3,0.167,1,0
64,Markquis Nowell,Nov 15 '23 TOR vs. MIL,24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,0,,1
65,Mãozinha Pereira,Mar 20 '24 MEM @ GSW,23,1,7,122,18,35,5,13,7,10,11,37,2,6,4,5,10,48,0.514,0.385,0.7
66,Drew Peterson,Dec 23 '23 BOS @ LAC,24,2,4,27,4,6,3,5,0,0,0,2,1,3,2,2,1,11,0.667,0.6,
67,Filip Petrušev,Oct 29 '23 PHI vs. POR,23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,0.5,,0.5
68,Julian Phillips,Oct 25 '23 CHI vs. OKC,20,2,43,364,37,88,15,47,14,20,13,39,14,10,7,10,42,103,0.42,0.319,0.7
69,Jalen Pickett,Oct 24 '23 DEN vs. LAL,24,2,28,124,15,36,9,26,3,4,1,14,21,4,0,9,13,42,0.417,0.346,0.75
70,Brandin Podziemski,Oct 30 '23 GSW @ NOP,20,2,77,2042,280,624,91,248,50,79,124,444,282,63,15,93,129,701,0.449,0.367,0.633
71,Craig Porter Jr.,Oct 28 '23 CLE vs. IND,23,2,54,662,118,233,12,36,41,56,21,111,120,21,17,45,40,289,0.506,0.333,0.732
72,Olivier-Maxence Prosper,Nov 3 '23 DAL @ DEN,21,2,42,339,40,104,13,45,28,41,25,79,22,7,4,8,20,121,0.385,0.289,0.683
73,Duop Reath,Nov 12 '23 POR @ LAL,27,2,70,1221,231,503,89,247,69,93,94,251,68,33,38,53,161,620,0.459,0.36,0.742
74,Rayan Rupert,Oct 25 '23 POR @ LAC,19,2,41,654,57,165,28,79,19,25,26,97,63,15,3,32,58,161,0.345,0.354,0.76
75,Jermaine Samuels,Oct 25 '23 HOU @ ORL,25,1,14,60,9,14,0,2,2,2,3,13,3,1,2,0,5,20,0.643,0,1
76,Adama Sanogo,Dec 28 '23 CHI vs. IND,21,1,9,66,14,27,0,0,8,12,19,36,0,1,0,5,5,36,0.519,,0.667
77,Gui Santos,Nov 16 '23 GSW vs. OKC,21,2,25,203,29,56,10,27,17,19,17,53,15,4,2,8,26,85,0.518,0.37,0.895
78,Marcus Sasser,Oct 25 '23 DET @ MIA,23,2,73,1356,220,513,90,240,58,66,12,127,238,44,12,90,103,588,0.429,0.375,0.879
79,Brice Sensabaugh,Oct 25 '23 UTA vs. SAC,20,2,34,614,89,229,36,122,39,44,20,107,55,15,6,48,44,253,0.389,0.295,0.886
80,Ben Sheppard,Oct 25 '23 IND vs. WAS,22,2,60,847,94,236,51,159,23,26,15,93,55,33,3,15,96,262,0.398,0.321,0.885
81,Dmytro Skapintsev,Dec 23 '23 NYK vs. MIL,25,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
82,Jalen Slawson,Nov 15 '23 SAC @ LAL,24,1,12,37,4,6,0,2,0,0,1,7,2,1,1,2,8,8,0.667,0,
83,Nick Smith Jr.,Oct 25 '23 CHO vs. ATL,19,1,51,729,113,289,63,146,13,15,18,72,59,10,7,39,55,302,0.391,0.432,0.867
84,Terquavion Smith,Jan 19 '24 PHI @ ORL,21,1,16,84,18,46,13,35,3,5,0,4,12,8,0,7,8,52,0.391,0.371,0.6
85,Pat Spencer,Feb 25 '24 GSW vs. DEN,27,1,6,26,2,4,0,2,0,0,2,4,5,0,0,1,1,4,0.5,0,
86,Julian Strawther,Oct 27 '23 DEN @ MEM,21,2,52,578,88,233,43,142,22,31,6,63,51,20,7,25,61,241,0.378,0.303,0.71
87,Amen Thompson,Oct 25 '23 HOU @ ORL,21,2,65,1454,246,464,9,63,114,166,154,423,168,78,39,99,149,615,0.53,0.143,0.687
88,Ausar Thompson,Oct 25 '23 DET @ MIA,21,1,63,1583,232,480,21,113,71,119,129,402,120,68,59,84,175,556,0.483,0.186,0.597
89,Jacob Toppin,Dec 5 '23 NYK @ MIL,23,2,11,43,5,10,1,5,2,2,3,7,3,0,1,1,3,13,0.5,0.2,1
90,Oscar Tshiebwe,Dec 9 '23 IND @ LAL,24,1,8,42,10,20,0,0,6,8,8,16,2,2,1,0,3,26,0.5,,0.75
91,Hunter Tyson,Oct 29 '23 DEN @ OKC,23,2,19,50,8,21,4,15,0,0,1,10,2,1,0,2,10,20,0.381,0.267,
92,Sasha Vezenkov,Oct 25 '23 SAC @ UTA,28,1,42,511,84,191,45,120,12,15,30,96,19,20,7,12,42,225,0.44,0.375,0.8
93,Tristan Vukcevic,Mar 23 '24 WAS vs. TOR,20,1,10,153,29,67,10,36,17,22,6,36,13,5,7,10,28,85,0.433,0.278,0.773
94,Jarace Walker,Oct 25 '23 IND vs. WAS,20,2,36,370,51,121,24,61,12,13,14,69,44,17,11,18,33,138,0.421,0.393,0.923
95,Cason Wallace,Oct 25 '23 OKC @ CHI,20,2,85,1768,225,466,99,243,30,38,55,201,123,84,37,47,133,579,0.483,0.407,0.789
96,Jordan Walsh,Jan 17 '24 BOS vs. SAS,19,2,11,99,6,19,2,12,1,2,5,20,6,5,2,3,12,15,0.316,0.167,0.5
97,Victor Wembanyama,Oct 25 '23 SAS vs. DAL,20,2,73,2165,566,1221,131,407,305,381,164,771,276,88,258,267,157,1568,0.464,0.322,0.801
98,Cam Whitmore,Oct 25 '23 HOU @ ORL,19,2,50,922,223,493,79,228,79,118,46,186,33,30,18,47,70,604,0.452,0.346,0.669
99,Malik Williams,Apr 3 '24 TOR @ MIN,25,1,7,107,9,34,1,5,0,2,15,38,2,3,4,3,15,19,0.265,0.2,0
100,Jalen Wilson,Nov 1 '23 BRK @ MIA,23,2,46,725,80,190,26,81,46,54,48,137,50,12,4,22,59,232,0.421,0.321,0.852
101,Isaiah Wong,Dec 9 '23 IND @ LAL,23,1,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0.333,0,
